name,year,bpm,url
Bubble feat.Uta,2022,146,https://www.youtube.com/watch?v=Vao7eDMtrro&list=RDVao7eDMtrro&start_radio=1
Byme,2024,126,https://www.youtube.com/watch?v=d7fG9CemEOs&list=RDd7fG9CemEOs&start_radio=1
feel like,2025,136,https://www.youtube.com/watch?v=AGfC3lCFPRM&list=RDAGfC3lCFPRM&start_radio=1
lazy cat,2024,117,https://www.youtube.com/watch?v=I0jHbsidh1g&list=RDI0jHbsidh1g&start_radio=1
LEO,2020,90,https://www.youtube.com/watch?v=J3K3V36mlLM&list=RDJ3K3V36mlLM&start_radio=1
Midnight Runway,2024,111,https://www.youtube.com/watch?v=m2P8Mr7HVHA&list=RDm2P8Mr7HVHA&start_radio=1
Round Robin,2015,192,
sister,2016,160,https://www.youtube.com/watch?v=JhoK7chbpZ0&list=RDJhoK7chbpZ0&start_radio=1
YOKU,2022,88,https://www.youtube.com/watch?v=w6G7Yfp1pVE&list=RDw6G7Yfp1pVE&start_radio=1
アヴァン,2022,186,https://www.youtube.com/watch?v=m6CFrfKw60w&list=RDm6CFrfKw60w&start_radio=1
アウトサイダー,2019,172,https://www.youtube.com/watch?v=GMPjNA_fCj4&list=RDGMPjNA_fCj4&start_radio=1
あの娘シークレット,2017,160,https://www.youtube.com/watch?v=sgdPlDG1-8k&list=RDsgdPlDG1-8k&start_radio=1
アンビバレント,2018,188,https://www.youtube.com/watch?v=vNa83RXmZdg&list=RDvNa83RXmZdg&start_radio=1
いのちの食べ方,2020,143,https://www.youtube.com/watch?v=U7L-3VXAkSA&list=RDU7L-3VXAkSA&start_radio=1
インソムニア,2024,150,https://www.youtube.com/watch?v=35nV_M3asRs&list=RD35nV_M3asRs&start_radio=1
お気に召すまま,2017,143,https://www.youtube.com/watch?v=nROvY9uiYYk&list=RDnROvY9uiYYk&start_radio=1
キャラバン,2017,176,https://www.youtube.com/watch?v=j8wOrsD6Q24&list=RDj8wOrsD6Q24&start_radio=1
ゴーストアベニュー,2025,122,https://www.youtube.com/watch?v=PysVvOp0jiU
さよならエンドロール,2024,116,https://www.youtube.com/watch?v=VOChndxKi6U&list=RDVOChndxKi6U&start_radio=1
ティーンエイジブルー,2024,141,https://www.youtube.com/watch?v=PW7VH5bPdj4&list=RDPW7VH5bPdj4&start_radio=1
デーモンダンストーキョー,2016,107,https://www.youtube.com/watch?v=BLgqyQMjd5s&list=RDBLgqyQMjd5s&start_radio=1
どうしようもないくらいに君が好き,2016,170,https://www.youtube.com/watch?v=AJGHz79AQiE&list=RDAJGHz79AQiE&start_radio=1
トーキョーゲットー,2018,140,https://www.youtube.com/watch?v=PvzBWFGEz8M&list=RDPvzBWFGEz8M&start_radio=1
ドラマツルギー,2017,149,https://www.youtube.com/watch?v=jJzw1h5CR-I&list=RDjJzw1h5CR-I&start_radio=1
ナンセンス文学,2017,154,https://www.youtube.com/watch?v=OskXF3s0UT8&list=RDOskXF3s0UT8&start_radio=1
バウムクーヘンエンド,2019,136,https://www.youtube.com/watch?v=D_v8oX5s51g&list=RDD_v8oX5s51g&start_radio=1
ファイトソング,2022,126,https://www.youtube.com/watch?v=2eOg5DoYuwU&list=RD2eOg5DoYuwU&start_radio=1
フラットウッズのモンスターみたいに,2024,150,https://www.youtube.com/watch?v=Kt491Acrw1c&list=RDKt491Acrw1c&start_radio=1
ふりをした。,2017,196,https://www.youtube.com/watch?v=8RGpI8I9upE&list=RD8RGpI8I9upE&start_radio=1
ホームシック,2016,124,https://www.youtube.com/watch?v=chjrVswBFCE&list=RDchjrVswBFCE&start_radio=1
ぼくらの,2023,183,https://www.youtube.com/watch?v=exOi_zsOHwM&list=RDexOi_zsOHwM&start_radio=1
メルファクトリー,2016,177,https://www.youtube.com/watch?v=XyFWHKdgtDQ&list=RDXyFWHKdgtDQ&start_radio=1
やどりぎ,2019,120,https://www.youtube.com/watch?v=t7_roQDeTPg&list=RDt7_roQDeTPg&start_radio=1
よるのゆめ,2014,205,
ラストダンス,2018,176,https://www.youtube.com/watch?v=CLdeykXCZX4&list=RDCLdeykXCZX4&start_radio=1
レーゾンデートル,2019,152,https://www.youtube.com/watch?v=ulfY8WQE_HE&list=RDulfY8WQE_HE&start_radio=1
闇夜,2019,80,https://www.youtube.com/watch?v=BEEFXAltoqo&list=RDBEEFXAltoqo&start_radio=1
黄金の日々,2023,136,https://www.youtube.com/watch?v=FHO79EMrSwI&list=RDFHO79EMrSwI&start_radio=1
花星,2025,112,https://www.youtube.com/watch?v=lsOz1JDK-1E&list=RDlsOz1JDK-1E&start_radio=1
花嵐,2023,121,https://www.youtube.com/watch?v=I3ZozsgDDqI&list=RDI3ZozsgDDqI&start_radio=1
会心劇,2018,146,https://www.youtube.com/watch?v=4Lh3o914ztk&list=RD4Lh3o914ztk&start_radio=1
廻廻奇譚,2020,185,https://www.youtube.com/watch?v=1tk1pqwrOys&list=RD1tk1pqwrOys&start_radio=1
廻人,2022,,https://www.youtube.com/watch?v=Rd1kBrpED-I&list=RDRd1kBrpED-I&start_radio=1
巻物語,2024,126,https://www.youtube.com/watch?v=_-nLBLtidZ4&list=RD_-nLBLtidZ4&start_radio=1
虚の記憶,2020,122,https://www.youtube.com/watch?v=H6Ha_XFcZzA&list=RDH6Ha_XFcZzA&start_radio=1
君に世界,2019,84,https://www.youtube.com/watch?v=B3vsRXOSBqc&list=RDB3vsRXOSBqc&start_radio=1
群青讃歌,2021,168,https://www.youtube.com/watch?v=sgZjbk9eH6g&list=RDsgZjbk9eH6g&start_radio=1
胡乱な食卓,2018,180,https://www.youtube.com/watch?v=grsARHSyp5w&list=RDgrsARHSyp5w&start_radio=1
虎狼来,2023,125,https://www.youtube.com/watch?v=Gw96jPDtoDQ&list=RDGw96jPDtoDQ&start_radio=1
宵の明星,2020,118,https://www.youtube.com/watch?v=48oFUDgSNOQ&list=RD48oFUDgSNOQ&start_radio=1
心海,2020,123,https://www.youtube.com/watch?v=vRPCAAUBMms&list=RDvRPCAAUBMms&start_radio=1
心予報,2020,143,https://www.youtube.com/watch?v=dJf4wCdLU18&list=RDdJf4wCdLU18&start_radio=1
蒼のワルツ,2020,81,https://www.youtube.com/watch?v=pyDCubgU57g&list=RDpyDCubgU57g&start_radio=1
退屈を再演しないで,2022,122,https://www.youtube.com/watch?v=Pv56oBAfRhY&list=RDPv56oBAfRhY&start_radio=1
朝が降る,2020,86,https://www.youtube.com/watch?v=urOAZLvT9tA&list=RDurOAZLvT9tA&start_radio=1
逃避行,2023,122,https://www.youtube.com/watch?v=uWZ6VyQ-cMI&list=RDuWZ6VyQ-cMI&start_radio=1
白銀,2019,148,https://www.youtube.com/watch?v=X8TCB9s1kRs&list=RDX8TCB9s1kRs&start_radio=1
白雪,2022,117,https://www.youtube.com/watch?v=Kvceyq9o0rY&list=RDKvceyq9o0rY&start_radio=1
楓,2018,86,https://www.youtube.com/watch?v=334b85PGQuM&list=RD334b85PGQuM&start_radio=1
暴徒,2022,129,https://www.youtube.com/watch?v=8McISUEXb9g&list=RD8McISUEXb9g&start_radio=1
冒険録,2023,126,https://www.youtube.com/watch?v=z9c5tlQHXWM&list=RDz9c5tlQHXWM&start_radio=1
夢に逢えたら,2024,81,https://www.youtube.com/watch?v=WQWHKwzT-d8&list=RDWQWHKwzT-d8&start_radio=1
迷い子,2017,120,https://www.youtube.com/watch?v=_MuyjI_e0NI&list=RD_MuyjI_e0NI&start_radio=1
夜は仄か,2021,119,https://www.youtube.com/watch?v=9Y0_CVX1hok&list=RD9Y0_CVX1hok&start_radio=1
約束,2020,80,https://www.youtube.com/watch?v=PTDYDxWvPHo&list=RDPTDYDxWvPHo&start_radio=1
遊生夢死,2021,122,https://www.youtube.com/watch?v=roh_p2l8DHo&list=RDroh_p2l8DHo&start_radio=1
羊を数えて,2017,102,https://www.youtube.com/watch?v=WqPKStYOL0s&list=RDWqPKStYOL0s&start_radio=1
藍才,2021,132,https://www.youtube.com/watch?v=lw51UR6Qoy8&list=RDlw51UR6Qoy8&start_radio=1
杪夏,2020,144,https://www.youtube.com/watch?v=-H5Bl4RBSeQ&list=RD-H5Bl4RBSeQ&start_radio=1
